"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"840821",840821,"","","","18","ROSSNAVANNA","","","BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268744,422008
"840822",840822,"","","","151","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SN",268346,421918
"840824",840824,"","","","36","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AJ",267377,422636
"840826",840826,"","","","3","ALEXANDER TERRACE","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BT",267527,423232
"840829",840829,"","","","106","BALLYAVELIN ROAD","","","","BALLYAVELIN NORTH","LIMAVADY","LONDONDERRY","BT490QB",272290,421733
"840830",840830,"","","","14","MCCURRY WALK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GD",268586,422460
"840831",840831,"","","","34","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AJ",267387,422641
"840832",840832,"","FLAT 19","BENEVENAGH FOLD","102","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968
"840833",840833,"","","","12","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268915,422022
"840835",840835,"","","","43","NEWTON ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268621,422681
"840837",840837,"","","","173","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268430,421471
"840838",840838,"","FLAT 4","","163-165","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AR",267295,422406
"840839",840839,"","","","154","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SR",268175,422940
"840841",840841,"","","","30","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268866,422092
"840846",840846,"","","","126","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268445,422917
"840849",840849,"","","","9","BARANAILT ROAD","","","","SHANREAGH","LIMAVADY","LONDONDERRY","BT499HJ",266203,422484
"840850",840850,"","","","31","BARANAILT ROAD","","","","TAMLAGHT","LIMAVADY","LONDONDERRY","BT499HJ",266253,422090
"840851",840851,"","","","65","WOODLAND WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267238,421679
"840855",840855,"","","","55","ROSSMARA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UA",269101,422244
"840856",840856,"","","","102","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269115,422458
"840857",840857,"","","","33","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268467,423116
"840858",840858,"TRUSTEES OF EDENMORE ORANGE HALL","","","80","EDENMORE ROAD","","","","EDENMORE","LIMAVADY","LONDONDERRY","BT490NG",269491,420415
"840864",840864,"","","","7","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269003,422354
"840865",840865,"","","","57","RINGSEND ROAD","","","","RUSKEY","LIMAVADY","LONDONDERRY","BT490QJ",271221,422542
"840877",840877,"","","","14","MOUNT EDEN","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268675,421841
"841048",841048,"","","","5","BROOKFIELD PARK","","","","LARGY","LIMAVADY","LONDONDERRY","BT499ER",267337,418221
"841084",841084,"","","","31","CARRICK AVENUE","","","","CARRICK","LIMAVADY","LONDONDERRY","BT499NL",268156,417667
"841628",841628,"ENAGH","","","7","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT494SR",267216,423186
"845474",845474,"","","","25","BEECH ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PR",271993,417354
"846813",846813,"","","","1","TYBERAN COURT","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490FG",267730,423034
"847042",847042,"","","","40","SCOTCHTOWN ROAD","","","","SCOTCHTOWN","LIMAVADY","LONDONDERRY","BT490JA",265635,430257
"847045",847045,"","","","157","SEACOAST ROAD","","","","CRESSY CRIB","LIMAVADY","LONDONDERRY","BT499EG",266210,427468
"847320",847320,"","UNIT 7","","1","AGHANLOO ROAD","","","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268326,425702
"847395",847395,"ASHBURN IMAGE","","","19B","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267042,423207
"847460",847460,"JOHN PAUL FASHIONS","","JOHN PAUL FASHIONS","59","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AB",267057,423208
"847913",847913,"","","","22","DANNY BOY PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268948,422247
"847943",847943,"","","","392A","SEACOAST ROAD","","","","BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LA",267140,432720
"848036",848036,"","","","106","AGHANLOO ROAD","","","","SHANVEY","LIMAVADY","LONDONDERRY","BT490HY",267858,428379
"848057",848057,"D DAVIS AND SONS LTD","UNIT 2","","1","AGHANLOO ROAD","","","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268299,425735
"848059",848059,"","","","24A","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267077,423145
"848275",848275,"","","","32","DRUMRANE ROAD","","","","MULLAGH","LIMAVADY","LONDONDERRY","BT499LB",266479,421228
"848290",848290,"","","","5","ANDERSON PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RH",268233,422430
"848463",848463,"","","","28","EAST ROAD","","","","BALLYQUIN","LIMAVADY","LONDONDERRY","BT490NW",269557,417459
"848503",848503,"","","","253","DRUMSURN ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PG",271817,417243
"848505",848505,"","","","25","ANDERSON CRESCENT","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RQ",268474,422147
"848506",848506,"","","","27","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268917,422082
"848552",848552,"","","","145","SEACOAST ROAD","","","","CRESSY CRIB","LIMAVADY","LONDONDERRY","BT499EG",266247,427316
"848666",848666,"","","","3","GREENVALE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490HN",268740,421971
"848692",848692,"","","","6","ARDGARVAN COTTAGES","","","","ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268683,420190
"848931",848931,"","","","47","AGHANLOO ROAD","","","","DOWLAND","LIMAVADY","LONDONDERRY","BT490HX",267926,426613
"848956",848956,"","","","4","ROSSLYN CLOSE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490WA",269096,422073
"848965",848965,"","","","22","CARLARAGH ROAD","","","","SESNAGH","LIMAVADY","LONDONDERRY","BT499LD",266022,420663
"848966",848966,"","","","49","WOODLAND WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267319,421640
"848967",848967,"","","","3","JOSEPHINE TERRACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267171,422325
"849045",849045,"","MIDDLE FLAT","","23","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266994,423174
"849068",849068,"","","","69","DRUMALIEF ROAD","","","","DIRTAGH","LIMAVADY","LONDONDERRY","BT490QX",270567,426304
"849069",849069,"","","","80","BOLEA ROAD","","","","KILLYBREADY","LIMAVADY","LONDONDERRY","BT490QT",271187,425608
"849100",849100,"","","","44","DUNCRUN ROAD","","","","TAMLAGHT (PART OF GLEBE)","LIMAVADY","LONDONDERRY","BT490JD",267601,431513
"849128",849128,"","","","94","ALEXANDER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267432,423378
"849166",849166,"","","","7B","DRUMSURN ROAD","","","","DRUMMOND","LIMAVADY","LONDONDERRY","BT490PD",269013,422856
"850248",850248,"MANHATTEN","","","36","MARKET STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AA",267055,423178
"850347",850347,"","","","14","LIMESTONE ROAD","","","","DUNCRUN","LIMAVADY","LONDONDERRY","BT490LB",267733,432715
"850348",850348,"","","","61","BALLYAVELIN ROAD","","","","BALLYMULLY","LIMAVADY","LONDONDERRY","BT490NQ",270686,420402
"850368",850368,"","","","36","KILHOYLE ROAD","","","","KILHOYLE","LIMAVADY","LONDONDERRY","BT490PU",274056,416446
"850469",850469,"LIMAVADY CENTRAL PRIMARY SCHOOL","","","57","SCROGGY ROAD","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267862,422215
"850521",850521,"","","","4","OASIS COTTAGES","","","","BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LZ",267154,432689
"850543",850543,"","","","3","ANNADALE LANE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BX",267087,422871
"850608",850608,"","","","56","LARGY ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LH",267388,419488
"850619",850619,"","","","11","DUNMORE PLACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267375,422690
"850649",850649,"","","","30","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",267950,425156
"850739",850739,"","","","8","DROMORE AVENUE","","","","DROMORE","LIMAVADY","LONDONDERRY","BT499LX",265261,420090
"850883",850883,"","","","33","EDENMORE PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268327,422274
"850884",850884,"","","","13","MCCURRY WALK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GD",268651,422520
"851400",851400,"MULKEERAGH FARM SHOP","","","40B","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","BALLYKELLY","LONDONDERRY","BT499HS",266992,423222
"851515",851515,"","","","40","PETRIE PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GB",268739,422568
"851613",851613,"","","","5","DRUMMOND MANOR","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",269032,422284
"851675",851675,"VALLEY COMPUTER TRAINING LTD","","","145A","GREYSTONE ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PB",268658,423054
"851845",851845,"","","","18","PETRIE PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GB",268716,422484
"852120",852120,"NEW IMAGE HAIR SALON","","","48","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AN",267253,422821
"852337",852337,"","","","85","DRUMSURN ROAD","","","","GLEBE","LIMAVADY","LONDONDERRY","BT490PD",269906,421737
"852338",852338,"","","","51","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267502,421854
"852343",852343,"","","","340","SEACOAST ROAD","","","","BALLYMULTIMBER","LIMAVADY","LONDONDERRY","BT490LA",266748,432184
"852346",852346,"","","","6","GORTGARN ROAD","","","","GORTGARN","LIMAVADY","LONDONDERRY","BT490QW",270966,423956
"852347",852347,"","","","39","RINGSEND ROAD","","","","GLENKEEN","LIMAVADY","LONDONDERRY","BT490QJ",271543,423118
"852348",852348,"","","","21","EVENTIDE GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AX",267475,422515
"852350",852350,"","","","46","EDENMORE PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268360,422251
"852351",852351,"","","","52","ANDERSON CRESCENT","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268395,422030
"852377",852377,"","","","56","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267191,432939
"852419",852419,"","","","2","ROEMILL COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499NP",267165,422035
"852427",852427,"","","","34","CASTLE GARDENS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268247,422932
"852429",852429,"","","","1","MCCURRY WALK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GD",268697,422421
"852444",852444,"","","","110","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268287,421558
"852457",852457,"","","","56","ROEVIEW PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267033,422239
"852459",852459,"","","","39","SPERRIN ROAD","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AS",267431,422425
"852519",852519,"","","","46","SCOTCHTOWN ROAD","","","","SCOTCHTOWN","LIMAVADY","LONDONDERRY","BT490JA",265385,430285
"852527",852527,"","","",NA,"DOWLAND ROAD","","","FRUITHILL","GRANNAGH","LIMAVADY","LONDONDERRY","BT490HR",267629,425224
"852528",852528,"","","","33","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",267988,425092
"852533",852533,"","","","19","JANES VALLEY","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EH",268524,422347
"852534",852534,"","","","42","EDENVALE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RF",268530,421917
